Unit,Name
MUSC1982,Music Ensemble 2 Standard
MUSC2331,Western Art Music 1 (Renaissance and Baroque) Standard
MUSC2332,Western Art Music 2 (Classical and Romantic) Standard
MUSC2350,Music in World Cultures Standard
MUSC2520,Music Language 3 Standard
MUSC2981,Music Ensemble 3
MUSC2982,Music Ensemble 4
MUSC3331,Western Art Music 3 (Modernist and Postmodernist) Standard
MUSC3560,Music Education in Research and Practice Standard
NEUR3301,Advanced Neuroscience 1 Standard
NEUR3310,Neuroscience Standard
NEUR4010,Modern Research Tools in Neuroscience Standard
OGEG5809,Field Development Project Standard
OGEG5810,The Hydrocarbon Economy
PATH2210,Fundamentals of Pathology and Laboratory Medicine Standard
PATH2211,Molecular Medicine Standard
PATH2220,Introduction to Human Disease Standard
PATH3304,Drugs and Disease B Standard
PATH3305,Medical Genetics Standard
PATH3307,Pathology and Laboratory Medicine I Standard
PATH3308,Pathology and Laboratory Medicine II Standard
PATH3309,Cancer Pathology Standard
PATH5121,Clinical Biochemistry Standard
PATH5131,Anatomical Pathology Standard
PATH5141,Clinical Immunology Standard
PATH5151,Molecular Pathology Standard
PATH5161,Haematology Standard
PATH5511,Clinical Laboratory Skills 1 Standard
PATH5514,Clinical Laboratory Skills 2 Standard
PHAR1101,Drugs that Changed the World Standard
PHAR2210,Foundations of Pharmacology Standard
PHAR2220,Human Pharmacology Standard
PHAR3303,Drugs and Disease A Standard
PHAR3310,Molecular Pharmacology Standard
PHAR3320,Systems Pharmacology Standard
PHCY5611,Medicinal Product Formulation Standard
PHIL1001,Justice and Contemporary Ethics Standard
PHIL1002,Introduction to Critical Thinking Standard
PHIL1003,God Mind and Knowledge Standard
PHIL2002,Logic: How to Defeat Your Foes with Reasoning Standard
PHIL2003,Philosophy of Religion Standard
PHIL2005,Exploring the Nature of Science Standard
PHIL3001,Metaphysics: a User's Guide to Time Travel Standard
PHIL3002,Aesthetics Standard
PHIL3003,Moral Theory Standard
PHIL3005,Continental Philosophy Standard
PHYL2001,Physiology of Human Body Systems Standard
PHYL2002,Physiology of Cells Standard
PHYL3001,Physiology of Membranes Muscles and Signalling Standard
PHYL3002,Physiology of Cardiovascular and Respiratory Systems Standard
PHYL3003,Physiology of Nutrition and Metabolism Standard
PHYL3004,Physiology of Integrated Organ Function Standard
PHYL3305,Human Growth Development and Ageing Standard
PHYL5501,Audiological Instrumentation Part 1
PHYS0030,Physics 1 Standard
PHYS1001,Physics for Scientists and Engineers Standard
PHYS1002,Modern Physics Standard
PHYS1022,Applied Physics B Standard
PHYS1030,Physics Bridging Unit Standard
PHYS2001,Quantum Mechanics 1 and Electromagnetism Standard
PHYS2002,The Physics of Particles Standard
PHYS3001,Quantum Mechanics 2 and Atomic Physics Standard
PHYS3011,Mathematical Physics Standard
PHYS3012,Frontiers in Modern Physics Standard
PLNG3301,Geographical and Planning Methods Standard
PLNG4401,Planning Theory and Practice
PLNG4402,Planning Law
PLNT2201,Plants in Action Standard
PLNT2204,Plant Diversity and Conservation Standard
PLNT3306,Australian Vegetation Standard
PLNT4501,Botany Research Dissertation Part 1 Standard
PODI4101,Podiatric Medicine I Standard
PODI4102,Introduction to Clinical Practice I Standard
PODI4104,Lower Extremity Functional Anatomy and Physiology Standard
PODI4105,Podiatric Medicine II Standard
PODI4107,Normal Systems II Standard
PODI4201,Podiatric Medicine III Standard
PODI4203,General Medicine and Pathology
PODI4206,Podiatric Medicine IV Standard
PODI4207,Pharmacology for Podiatrists Standard
PODI4208,Research Methods Standard
PODI5301,Podiatric Medicine V Standard
PODI5303,Anasthesia and General Surgery Standard
PODI5305,Podiatric Medicine VI Standard
POLS1102,The Contemporary International System Standard
POLS2202,Australian Politics: Institutions Campaigning and Spin Standard
POLS2214,Strategy Diplomacy and Conflict Standard
POLS2216,Politics in the USA Standard
POLS2220,International Political Economy Standard
POLS2231,Politics of the Mass Media HK-ARTS
POLS3323,Elections Mass Media and Politics Standard
POLS3324,Islam and World Politics Standard
POLS3335,Saving the World: Social Movements and the Politics of Change Standard
POLS5611,Religion Global Identities and World Politics
POLS5612,World Politics: Muslims in the West Standard
POLS5631,International Relations of the Asia-Pacific
POLS5641,International Security
POLS5651,International Political Economy
POLS5671,Peace and Security in Africa
POLS5681,Governance in the International System
POLS5684,China and the World
POLS5688,Evolution of International Society
PSYC1102,Psychology: Behaviour in Context Standard
PSYC2208,Psychology: Atypical Development Standard
PSYC2209,Industrial and Organisational Psychology Standard
PSYC2212,Psychology and Social Behaviour Standard
PSYC2217,Cognitive Neuroscience Standard
PSYC3301,Psychological Research Methods: Design and Analysis Standard
PSYC3302,Psychological Measurement and its Application Standard
PSYC3303,Psychological Science in the Modern World: Challenges and Controversies Standard
PSYC4410,Psychological Research Communication Skills Standard
PSYC4413,Psychological Research and Practice Standard
PSYC4416,Psychological Research and Theory Standard
PSYC4418,Psychological Research and Data Standard
PSYC5515,Organisational Development and Work Design Standard
PSYC5516,Professional Issues in Industrial and Organisational Psychology Standard
PSYC5675,Assessment and Intervention - Emotional Disorders Standard
PSYC5830,Occupational Health Safety and Wellbeing Standard
PUBH1101,Health and Illness in Human Populations Standard
PUBH1102,Health and Globalisation Standard
PUBH2203,Foundations of Epidemiology and Biostatistics Standard
PUBH2204,Disease Prevention and Control Standard
PUBH2208,Food and Nutrition in Population Health Standard
PUBH2216,Communication and Project Planning in Health Standard
PUBH3301,Health Leadership Standard
PUBH3307,Health Systems and Policy Standard
PUBH4401,Biostatistics I Standard
PUBH4403,Epidemiology I Standard
PUBH5742,Fundamentals of Genetic Epidemiology
PUBH5749,Foundations of Public Health Standard
PUBH5752,Health Systems and Economics Standard
PUBH5758,Public Health Practicum Standard
PUBH5769,Biostatistics II Standard
PUBH5785,Introductory Analysis of Linked Health Data
PUBH5802,Advanced Analysis of Linked Health Data
PUBH5804,Food and Nutrition in Population Health
PUBH5805,Qualitative Research Methods in Health Standard
PUBH7747,B.Med.Sc.(Public Health) Sp.Un.Pt 1 Standard
PUBH7750,B.Med.Sc.(Public Health) Sp.Un.Pt 2 Standard
RMED4403,Health Program Evaluation
RMED5311,Integrated Rural Medical Practice 1
SCIE1103,Science Society and Communication Standard
SCIE1104,Science Society and Data Analysis Standard
SCIE1106,Molecular Biology of the Cell Standard
SCIE1121,Our Universe Standard
SCIE1122,Our Solar System Standard
SCIE2100,Social Responsibility in Action Standard
SCIE2204,Marine Systems Standard
SCIE3304,Field Techniques in Marine Science Standard
SCIE3314,Agricultural Systems Standard
SCIE3367,Decision Tools for Natural Resource Management Standard
SCIE4401,Data Use in the Natural Sciences
SCIE4402,Data Management and Analysis in the Natural Sciences
SCIE4403,The Conduct Ethics and Communication of Science Standard
SCIE4501,FNAS Research Thesis Part 1
SCIE5500,Scientific Modelling
SCOM1101,Introduction to Scientific Practices Standard
SCOM2205,Science Presentations Standard
SCOM2208,Science Writing Standard
SCOM3318,Science Communication Practicum Standard
SOCS0047,Social Science 2 Standard
SOCS5003,Research Design and Resourcing Standard
SOCS5005,Social Research Ethics Standard
SOCS5010,NGOs Governance and Development
SOCS5013,Gender in Development: Approaches and Issues
SOCS5501,Evaluation
SOCS5502,Conservation Development and Sustainability Standard
SSEH1102,Human Structure and Athletic Performance Standard
SSEH1103,Physical Fitness and Health Standard
SSEH1104,Active Leadership 1: Developing Leadership Skills Standard
SSEH2240,Motor Learning and Control Standard
SSEH2270,Psychosocial Aspects of Sport Exercise and Health Standard
SSEH2290,Promoting Lifelong Physical Activity Standard
SSEH3366,Bioenergetics in Exercise Nutrition and Energy Balance Standard
SSEH3375,Psychology of Sport Standard
SSEH3376,Coaching Psychology Standard
SSEH3385,Motor Development and Dysfunction Standard
SSEH3393,Professional Practice Part 1 Standard
SSEH5474,Physical Education Curriculum II
SSEH5491,Health Education
SSEH5492,Health Promotion in the Schools
SSEH5592,Nutrition Health and Body Composition Standard
SSEH5667,Paediatric Exercise Rehabilitation Standard
SSEH5691,Industry Practicum 1 Standard
SSEH5694,Research Colloquium Standard
STAT1520,Economics and Business Statistics Standard
STAT3062,Statistical Science Standard
STAT3404,Statistical Significance Standard
SWSP5309,Field Education 1: First Placement
SWSP5406,Policy and Community Standard
SWSP5429,Field Education 2: Final Placement
SWSP5611,Indigenous Policy and Practice
SWSP5630,Developmental Practice
SWSP5631,Introduction to Social Work Methods Standard
SWSP5632,Organisational Practice and Law
SWSP5633,Counselling and Ethics
SWSP5635,Organisational Practice Law and Research
TRNS5001,Introduction to Translation Studies Standard
TRNS5006,Interpreting Standard
TRNS5007,Translation Project Standard
TRNS5108,Specialised Translation Standard
VISA1053,Video Art: Methods and Means Standard
VISA1054,Art of Drawing Standard
